ep,part,title,status,prose_chars,hook,laugh,martial,dragon,foreshadow_planted,foreshadow_paid
203,3,제일 잘 파는 놈,done,3844,곽진강이 두 해 만에 마당에서 「유백아」라고 부른다,젊은 사람이 낫 대신 삽을 지러 내려간다 / 구 노인이 호미 열둘을 밤새 갈겠다 한다,화척이가 언 땅을 앞발로 한 번 긁어 세 자를 뒤집는다,웅덩이 파기의 제일 큰 일손이 된다,유백이 스스로 미끼가 되려 한다 / 임 노파 「빈 그릇을 이백사십 년 씻어봤다」 / 1호 「셈하는 사람이 셈에 들어가면 그건 셈이 아닐세」 / 유백이 다치게 한 스물은 살아 있다,120화 생사 불문 / 111~121화 유백의 아홉 달
204,3,자갈밭에 놓고 온 것,done,4055,나흘 동안 일흔여덟이 흙을 나른다,13호가 앞에 서면 흘리고 뒤에 서면 말이 는다 / 천 노인이 된장을 약 대신 밥에 찍어 먹는다,천 노인이 이백사십 년 만에 지게를 지고 손바닥이 터진다,언 땅을 뒤집어 나흘 일을 만든다,밥이 사람을 섞는다 / 임 노파 「지겨운 걸 백구십 년 하면 그게 나다」 / 상촌 노인이 서른둘의 획 하나까지 안다 / 서문경이 무림맹 패를 자갈밭에 놓고 넘는다,174화 「두고 올 게 있습니다」 / 197화 이름 맡기
205,3,순서가 거꾸로다,done,4090,닷새째 새벽에 물이 찬다,13호가 물에 발을 담갔다 빼고 「사람이 들어갈 물이 아닙니다」 / 마등우의 이랑이 백십이 년 만에 논이 된다 / 배추 마흔 포기 흥정,서문경이 삽 잡는 법을 11호에게 배운다,아이가 「들어가」라고 하니 물에 들어간다 / 목까지 잠기니 바위로 보인다,임 노파가 열여섯 몫으로 담근 김치가 모자란다 / 곽진강이 순서를 거꾸로 밟았다 — 번호를 먼저 내놓고 이름이 남았다 / 백 영감 「자네가 처음일세」,164화 이름·번호·호칭 / 169화 이름을 한 번 더 쓴다
206,3,아침마다 서른둘,done,3823,10호가 닷새 만에 삼백 장을 다 베낀다,떡 아낙 「붙이면 비 맞소」,-,-,여덟이 붙으니 열흘이 닷새가 된다 / 삼백 장이 삼백 집에 간다 / 새벽에 마을이 집집마다 이름을 부른다 / 젊은 사람 「들면 저쪽도 이름이 있을 거 아니오」 / 열흘이 아니라 내일이고 스물이 아니다,197·198화 이름 맡기 / 201화 낫 삼백 자루
207,3,마흔,done,4076,「마흔입니다」,13호가 밤새 밭을 갈겠다 하고 곽진강이 「밤에 갈면 이상합니다」로 막는다,-,머리까지 잠기고 콧구멍만 물 위에 남는다,아이들의 용 이야기가 소문을 키웠다 / 서문경 「부지런한 게 제일 나쁩니다」 / 구 노인이 아흐레 만에 두 자를 다 쓴다 — 미안 / 천 노인 「자네는 흙을 나른 놈이다」,153화 구 노인의 「무섭다」 / 194화 두 자
208,3,자갈밭의 마흔,done,3562,어둠 속 자갈밭에 검이 마흔 자루 서 있다,곽진강의 「적습니다 그래서 배가 안 부릅니다」 / 겨울에 얼음 뜨려고 물을 채웠다는 대답,-,물속에서 하루를 난다,촌장이 거짓말 없이 앞을 빼고 말한다 / 천 노인이 「은자림」 이름을 밖에 내놓는다 — 「적히면 없어지는 게 아니라 생긴다」 / 분타장이 문턱에서 막힌다,140~150화 은자림이라는 이름 / 136화 남궁호가 세 번 막힌 자리
209,3,무극권신 곽진강,done,3814,넷이 다 문턱에서 막힌다,-,곽진강이 자갈 소리를 일부러 내며 걷는다 — 소리를 내는 것이 빈손이라는 표시다,-,촌장이 「우리가 진 것을 알았소」로 결계를 설명한다 / 십오 년 전 황하 나루에서 셋을 안 죽인 일이 증인으로 돌아온다 / 곽진강이 두 해 만에 이름을 댄다 / 서문경 「여기 있네」,119·120화 「하나입니다」 / 205화 순서
210,3,백스물 그릇,done,3580,서문경과 분타장이 십이 년 만에 마주 선다,임 노파 「마흔이 먹고 남으면 개를 준다」 / 13호 「그건 제가 잘합니다」,-,온종일 물속에 있다 나오며 이랑 여섯을 잠근다,서문경이 거짓 없이 빼서 말한다 / 분타장 「먹으면 못 적소」 / 스물여섯이 문턱 밖에서 밥을 먹는다 / 물은 빚이 아니다 / 1호 「내일 아침에 하촌 삼백을 다 부르게」,160화 물은 빚이 아니다 / 200화 「하촌도 부르게」
211,3,삼백이 왔다,done,3593,하촌 삼백이 밤에 등불을 들고 산을 올라온다,13호 「열여덟이 삼백을 먹습니까」 → 임 노파 「열아홉일세」,-,웅덩이에 턱을 걸치고 삼백을 본다. 아무도 안 도망간다,촌장이 선돌의 여섯 자를 먼저 묻는다 / 1호 「내가 새겼네 · 일곱 번 다시 새겼네 · 마지막은 지난달일세」 / 서문경의 마흔두 번 보고 / 1호 「자네 글씨를 아네」 / 천 노인이 대문 자리를 비우고 산 위로 걸어간다,144화 선돌 여섯 자 / 149화 지워진 지도 / 210화 「삼백을 다 부르게」 / 211화 밥은 빚 물은 빚이 아니다
212,3,산 위에는 아무것도 없다,done,3710,곽진강이 담이 끊긴 자리로 붙어 산 위로 올라간다,구 노인 「저놈 밥값 언제 받나」 → 「이자가 붙었겠네」,진각으로 계단을 올라가지 않고 풀을 젖혀 돌을 찾는다,압축형으로 계단을 셋 부수고 능선 아래 선에서 뒷걸음질 친다,상촌은 위 마을이었다 / 「위를 보지 마라」의 뜻 / 문고리 간격으로 센 스물여섯 채 / 하촌이 서른둘로 늘어난 것이 1호의 셈을 깨뜨렸다 / 화척이가 못 넘는 선,44화 화척이가 천 노인보다 먼저 있었다 / 106화 하촌 스물여섯 집 / 129화 서른둘 / 180화 산허리 주춧돌
213,3,메운 것을 판다,done,3646,"천 노인 「자네, 우물 팔 줄 알지」에 곽진강이 「팝니다」로 답하고 판다",13호 「저는 저게 안 됩니다」 / 마등우 「나는 되네」 / 표일도 「나는 흙을 안 파봤소」,발이 땅을 눌러 발목까지 지면이 꺼지고 삽이 한 자 들어간다,압축형 세 걸음에 구덩이가 사람 키만큼 꺼진다,두레박 매듭이 하촌 것과 같다 — 그날 밤 내려간 사람이 있었다 / 이백 년 만에 물이 오른다 / 상촌 노인 「우리 아버지가 매던 것이오」 / 하촌은 마을보다 우물이 먼저였다,195화 유백의 하촌 우물 셋 / 두 마을이 서로 안 보이는 지형
214,3,져 나른 사람,done,3597,천 노인 「내가 져 날랐네」,백 영감 「내 것은 한 모금이 아닐세 · 석 달 담근 걸세」 / 13호 「저는 언제 줍니까」 → 「자네는 아직 번호가 있잖나」,-,-,불이 아래에서 위로 올라갔다 — 태우려는 불이 아니라 몰려는 불 / 구 노인의 「마당을 치워야 한다」는 은자림이 아니라 상촌이었다 / 천 노인이 나흘 동안 혼자 메웠다 / 「헐러 갔는데 사람이 서 있었네」,150년 전 「마당을 치워야 한다」 / 60화 「자네들은 번호가 있잖나」 / 180화 상촌 노인의 아이 신
215,3,바람에 온 종이,done,3886,마당 밥이 없다 — 붉은 것이 삼백 그릇을 다 먹었다,꿀밤 한 대에 이랑 넷이 잠긴다 / 13호 「저 마흔둘입니다」 → 「자네는 아직 젊어서 그러네」,-,시키지 않은 심부름으로 종이를 물어 온다,유백의 수배 방 「생사 불문」이 마당에 들어온다 / 관 종이가 아니라 손으로 벤 것 / 표일도가 재작년에 한 장을 태웠다 / 10호가 1호에게 그릇을 민다 / 1호 「이건 백열두 장이 아니라 백열두 고을일세」,203화 백열두 고을 / 131·132화 임 노파의 빈 그릇 / 140화 1호의 첫마디 「밥 있나」
216,3,백열두 고을,done,3799,곽진강이 밤을 새우고 새벽에 헛간 앞으로 간다,13호 「오늘은 이백구십구만 씻겠습니다」,-,배가 안 들어갔다,1호의 방식 — 불이 아니라 종이 / 지운 자리는 표가 나고 안 넣은 자리는 표가 안 난다 / 총단 문서방에 이백사십 년 동안 열한 사람 / 「내가 먹였네」 / 서문경의 글씨가 열두 해째부터 바뀐다 / 「이백 년 전에 한 번 해봤네 · 다시는 안 했네」 / 곽진강 「어르신은 이름을 지우는 사람입니까」,149화 늙은 서리 / 209화 「무극권신 곽진강입니다」 / 296~300 이름 종결
217,3,종이를 가져온 사람,done,3667,곽진강이 1호보다 먼저 자갈밭에 내려서서 종이의 주인을 찾는다,젊은 사람 「밥은 안 주오?」 → 임 노파 「나는 그때 삼백 그릇을 또 풀 걸세」 → 13호 「또 삼백입니까」,-,문턱에 턱을 걸치고 엎드린다. 아이가 콧등을 만진다,종이를 가져온 것은 고발이 아니라 경고였다 / 「모르면 못 피하오」 / 지붕 이은 집이 열 채가 아니었다 / 하촌이 유백에게 빚을 선언한다 / 글을 모르는 사람이 넉 자를 베껴 왔다 / 물은 빚이 아니고 밥은 빚이다 / 천 노인 「그만하게」,195화 유백의 지붕 열 채 / 211화 밥과 물의 셈 / 203화 유백이 받는 법을 모른다
218,3,그만하게,done,3592,천 노인이 이백사십 년 만에 평상에서 일어서 1호를 막는다,13호 「떡 하나에 넉 달입니다 · 어르신은 뭘 지고 넘으셨습니까」,-,-,천 노인이 막는 이유는 죄가 아니라 「자네가 못 남네」 / 1호 「나는 남으러 온 게 아니라 끝내러 왔네」 / 1호가 문턱을 넘은 셈은 아이가 묻힌 자리 하나 / 마당의 침묵이 둘로 갈린다 / 구 노인 「기다리게 · 백오십 년도 기다렸네」 / 1호 「미워하게 · 그것도 이백 년 만일세」,7화 「밖에서 뭐 했는지는 안 묻는다」가 처음으로 사람을 막는다 / 159화 13호의 떡 하나 / 241~270 분열
219,3,위에서 내려왔네,done,3581,저녁상에 자리가 셋 비고 임 노파가 그 셋을 다 놓는다,13호 「어르신이 네 그릇을 잡수십니까」 / 「어르신들은 다 말을 어렵게 하십니다」,-,-,백 영감이 엿새를 헤맸고 사흘은 안 들어가려고 헤맸다 / 「갚을 사람이 죽었거든」 / 팔십팔 년 전 맨발이 앞장서서 걸었고 「올라가거든 위를 보지 말라」 했다 — 선돌의 여섯 자와 같다 / 그 사람은 아래가 아니라 위에서 내려왔다 / 임 노파는 번호를 두 번 받았다 / 「번호가 비면 그릇도 빈다」,59화 백 영감 88년 전 / 144화 선돌 / 7-A 셋째 그림자 / 131·132화 빈 그릇
220,3,내가 껐네,done,3725,곽진강이 등을 안 들고 밤 능선을 오른다,붉은 것이 두 해 만에 말을 듣고 계단에 엎드린다,천 노인의 무공을 1호가 「나는 자네를 못 이기네」로 셈해준다 — 그날 밤 도끼를 막은 것은 힘이 아니었다,엎드린 자리가 한 자 꺼진다,1호가 맨 아래 세 채를 껐다 / 상촌 스물이 결계를 봤다 / 「불을 지른 것은 내가 아닐세 · 못 끄게 한 것은 날세」 / 천 노인의 빚은 도끼를 놓은 것 / 1호가 쓴 말은 「이 사람이 나를 이백사십 년 기다린다」 / 천 노인 「내 손으로는 못 파겠더라」 / 「불은 자네가 아는 사람일세」,111화 「이건 내가 만든 게 아니다」 / 180화 「여기서 세었네」 / 125~129화 상촌을 태운 자
221,3,자네가 아는 것일세,done,3544,하촌이 사백으로 늘어 비탈까지 앉는다,13호 「사발이 백서른 갔습니다」로 사람을 센다,-,웅덩이에서 나와 목을 빼고 길게 숨을 내쉰다 — 두 해 동안 하루에 몇 번씩 보던 짓,"「자네가 아는 것일세」는 사람이 아니라 두 해 전 밭에서 판 뼈였다 / 밭 세 이랑, 삼십 장, 화척이의 두 배 / 천 노인이 묻었다 / 마당이 그 위에 앉아 있다 / 최 서방 「밝히는 사람이 감춘 사람과 같아서 셈이 안 서오」","44화 밭에서 판 뼈 / 44화 「이놈이 여기 살았어, 나보다 먼저」 / 180화 상촌 노인"
222,3,저놈은 제가 먹입니다,done,3699,비명이 나고 앞줄이 뒤로 밀린다,"13호 「아침에 열둘, 낮에 열둘, 저녁에 열둘입니다」 / 서문경 「배추 서른여섯 포기라고 적으면 아무도 안 믿소」",곽진강이 소리를 내며 걸어 빈손을 표시한다,사백 앞에서 꿀밤 한 대에 눈을 감고 턱을 자갈에 붙인다,이백 년 전 그놈은 아무도 안 먹였고 이름도 없었다 / 곽진강이 화척이의 앞날을 제 이름으로 받는다 / 「어르신이 죽으면 어쩌오」 → 「줄을 서 있습니다」 / 서문경 「문서로 사람을 죽여봤지 살려본 적은 없소」,44화 「화척이도 이렇게 됩니까」 / 3화 솥뚜껑 / 296~300 이름 종결
223,3,아래에서 몰았다,done,3916,촌장 「짐승은 아무 때나 불을 놓지 않소」,13호 「저 돌은 저를 안 막았습니다. 떡이 막았습니다」,-,-,소 여섯이 없어졌다 / 1호가 몰이를 시켰다 / 스물이 아래에서 횃불로 몰았다 / 짐승이 문턱에서 막혀 되돌아섰다 — 빚이 있으면 짐승도 못 넘는다 / 「자네들 마을을 태운 건 저 돌일세」 / 1호는 그때 마흔 해째 밖에 있어서 안쪽 법을 몰랐다,214화 불이 아래에서 위로 / 111화 결계 / 159화 13호의 떡 하나
224,3,돌은 못 미워한다,done,3702,곽진강이 문턱의 돌을 본다 — 사람 무릎도 안 오는 돌이 마을 하나를 태웠다,마등우 「밭 귀퉁이를 잡고 있는 돌은 안 빼네」 → 젊은 사람 「그 돌 때문에 우리 마을이 탄 적은 없소」 → 「맞네」,-,-,촌장이 미워할 것 넷을 세고 넷 다 못 미워한다 / 임 노파 「이 돌이 저 사람들을 받아준 걸세」 / 10호 「내가 넘었다는 건 그 사람이 죽었다는 뜻일세」 / 천 노인이 상촌 물을 길어 내려와 「이건 내가 만든 게 아닐세」,111화 「이건 내가 만든 게 아니다」 / 219화 백 영감의 갚을 사람 / 213화 판 우물
225,3,규칙 셋,done,4052,두 해 전 마당 안에서 들은 말을 오늘 사백 앞에서 다시 듣는다,13호 「규칙은 어겨도 안 아프고 돌은 어기면 못 넘습니다」 / 백 영감 「그럼 이 마당이 통째로 나가야 하나」,-,-,숲을 만든 자가 남긴 규칙 셋 / 그가 어긴 것은 첫째 줄 — 밖에서 하나를 살렸다 / 천 노인도 어겼다(도끼) / 열여덟이 다 어겼다 / 규칙은 내보내고 돌은 들인다 — 이 산에 법이 둘이다 / 서문경 「그 사람 기록이 어디 있소」,35화 규칙 셋과 「번호를 안 받았다」 / 111화 / 149화 지워진 지도
226,3,시킨 사람,done,3815,서문경 「기록이 없는 사람은 처음부터 없었거나 누가 뺐거나」,-,-,-,1호가 그 기록을 뺐다 / 시킨 사람이 있었다 — 천 노인이 하루 본 그 사람 / 「자네가 들어가면 이 숲이 드러난다」 / 누구 하나는 밖에 있어야 한다 / 천 노인은 이백사십 년 동안 벗의 마음이 변한 줄 알았다 / 서문경 「그 사람은 어르신보다 잘 지우오」 / 유백 「어디까지 지울지를 안 가르치면 사람이 잘못 읽습니다」,35화 나간 자 / 104화 오자 / 7화 셋째 줄이 두 사람을 막았다
227,3,이름을 잊은 놈,done,3830,사백이 내려가는 데 한 시진이 걸린다. 촌장이 두레박을 안고 앞장선다,곽진강이 13호 허리를 고치고 「삼류 권보 여섯째 장이다」 / 붉은 것이 마루를 부수고 반쯤 빠진다 / 13호 「너 나랑 같이 갈자」,삼류 권보 여섯째 장으로 삐끗한 허리를 편다,압축형으로 마루에 올라가 널 셋을 부러뜨리고 그 사이에 빠진다,1호가 이백사십 년 만에 한 술을 뜬다 / 상 자리가 스물이 된다 / 13호가 이름을 안 쓰기로 한 것이지 잊은 게 아니다 / 구 노인 「내일 밭에 가지 마라 · 배추는 캐라」 / 곽진강이 번호가 없어서 술을 받는다,131·132화 빈 그릇 / 60화 번호와 호칭 / 205화 순서
228,3,돌 뒤,done,3794,하촌 빈터에 불이 열둘 켜지고 가운데 두레박이 놓인다,최 서방 「나무는 파봤소」 → 「돌하고 나무가 같소?」 → 「안 같소」,-,-,최 서방 「모르는 건 남 탓이고 안 본 건 내 탓이오」 / 선돌을 눕히지 않고 뒷면에 새기기로 한다 / 서문경이 사십 년 만에 처음으로 넣을 말을 고른다 — 「위에도 살았다」 여섯 자 / 글을 모르는 젊은 사람이 새기기로 한다 / 아이 업은 여자 「줄이 끊길까 무서우면 우리가 서면 되오」,144화 선돌 여섯 자 / 222화 「줄을 서 있습니다」 / 217화 베껴 온 종이
229,3,밭 앞에서,done,3827,마당 사람들이 밭 앞에 서고 아무도 이랑에 안 들어간다,노인 셋이 이랑 밖에 엎드려 팔만 뻗어 배추를 캔다 / 13호 「저는 원래 안 맞습니다」,-,이랑 밖에서 멈춘다 — 두 해 동안 밭에 한 번도 안 들어왔다,이 마당은 회의를 안 하고 누가 먼저 엎드리면 따라 엎드린다 / 1호가 봇짐을 진다 / 상촌 노인이 어른 짚신을 준다 / 「그놈도 묻힌 거요 · 꺼내지 마시오」 / 천 노인이 백구십 년 동안 그 밭에 안 들어갔다 / 6호 「하나 더 있었습니다」,44화 6호의 그림 / 182화 13호의 짚신 / 180화 아이 신
230,3,넷째 줄,done,3784,6호가 두 해 동안 안 한 말을 한다 — 뼈 옆에 네모난 것이 있었다,13호 「너는 손이 급하다」 → 「급합니다」 / 「옆에 서 있어라」 → 「그건 잘합니다」,진각으로 두 해 눌린 흙에 삽을 한 자 넣는다,웅덩이에서 목만 빼고 도로 엎드린다,뼈가 나오자 도로 덮고 옆을 판다 / 밀랍으로 봉한 항아리 / 임 노파가 능선 흙을 알아본다 — 누가 위에서 져다 부었다 / 밭은 천 노인이 오기 전부터 열여섯 이랑이었다 / 항아리 속 종이에 규칙이 셋이 아니라 넷이었다,44화 6호의 그림 / 35화 규칙 셋 / 231~ 넷째 줄
231,4,오래 숨지 마라,done,3520,넷째 줄의 글씨가 앞의 셋과 다르다 — 같은 사람이 나중에 덧썼다,13호 「둘이 반대입니다 · 봤으면 안 새기셨을 텐데요」,-,웅덩이에서 이쪽을 보고 있다 — 「네가 팠다」,넷째 줄은 「오래 숨지 마라」 여섯 자 / 하촌 선돌의 여섯 자와 정반대다 / 유백이 줄 간격으로 읽어낸다 — 처음부터 넷째 자리를 비워두고 셋을 썼다 / 임 노파 「말로 하면 사람이 오래를 늘리네 · 파는 사람이 나오면 그때가 때일세」 / 밭을 넓히려 한 사람이 이백사십 년 만에 처음이었고 이유는 용 밥값이었다,35화 규칙 셋 / 104화 윗줄을 안 지운 오자 / 44화 이랑 넓히기
232,4,방법이 안 적혀 있다,done,4020,네 줄이 다 하지 말라는 말이고 하라는 것이 하나도 없다,임 노파 「밥 하라는 거겠지」 / 10호 「이 마당은 정한 적이 없네」 / 마등우 「숨은 사람이 씨를 내려보내나」,-,-,방법이 없으니 마당이 정해야 한다 / 구 노인 「그럼 또 이백 년 간다」 / 셋을 어기면 나가지만 넷을 어긴 사람이 나가면 또 숨는 것이다 / 천 노인이 1호를 이백사십 년어치 일로 붙든다 / 13호가 매어준 짚신 매듭이 능선 두레박 매듭이었다 / 임 노파가 빈 그릇을 씻는 대신 담기로 한다,213화 두레박 매듭 / 131·132화 빈 그릇 / 229화 상촌 노인의 짚신
233,4,종이,done,3581,곽진강이 문턱 너머로 종이를 내민다,13호 「물은 원래 누가 지는 겁니다」,-,-,관에서 장부 쓰는 종이다 — 만든 자는 관 사람이었다 / 귀퉁이 번호를 칼로 켜서 지웠다 — 제 자신도 지웠다 / 서문경 「나는 보는 게 아니라 고르오 · 하루 백 장 중 셋만 올리오」 / 「내가 그 사람 자리에 앉아 있소」 / 서랍이 차면 사람이 이상해진다 / 이레 남았다,149화 늙은 서리 / 119·120화 재로 덮은 방 두 장 / 226화 「자네보다 잘 지우오」
234,4,마당 회의,done,3896,이백사십 년 만에 스무 사람이 둘러앉는다,순서를 못 정한다 — 나이순은 이백사십 년이고 번호순은 다섯이 빠진다 / 13호 「이백이면 밥이 이백 그릇입니다」,-,-,임 노파가 회의 규칙 하나를 세운다 — 끝까지 듣게 / 표일도 「안 적으면 소문이 이백 년 더 가오」 / 유백 「잃을 게 없는 사람이 정하면 안 됩니다」 / 상촌 노인 「우리 마을은 아무도 안 와서 없어졌소」 / 1호가 적힐 것을 하나 더 든다,35화 규칙 / 6·7화 표일도 / 180화 상촌 노인
235,4,저놈일세,done,3686,1호가 적힐 것으로 화척이를 든다,13호 「저놈은 이미 사백이 봤습니다 · 사백한테 입 다물라 하실 겁니까」 / 1호가 이백사십 년 만에 웃는다,-,제 이야기인 줄 알고 목을 뺀다,사람은 밭 가는 노인 스물로 적으면 되지만 용은 못 적는다 / 유백 「지도에서 빼신 게 저를 두 해 살렸습니다」 / 임 노파 「밥 먹는 건 식구일세」 / 숨기는 건 되니까 이백 년이 갔다 / 천 노인 「저놈한테 물어본 적이 있나 · 나는 이름을 안 물어봐서 백구십 년 후회했네」,44화 「이름을 물어보면 정이 붙어」 / 203화 백열두 고을 / 222화 「제가 먹입니다」
236,4,물어본 적이 있나,done,3621,마당이 짐승에게 물을 방법을 모른다,백 영감 「배추를 둘 놓게」 → 곽진강 「둘 다 먹는다」 / 마등우 「굶기면 헛간을 먹네」 / 13호 「작년에 제 짚신을 먹었습니다」,-,"압축을 풀어 마당을 채운다. 머리가 지붕 위, 꼬리가 헛간에 닿는다","압축형은 재주가 아니라 숨은 것이었다 — 사람들 사이에 끼려고 줄였다 / 곽진강이 두 해 만에 「미안하다」를 한다 / 유백이 손가락 일곱을 보인 날부터 저놈이 따랐다 / 화척 = 불 화에 던질 척, 이름을 지은 것은 곽진강이고 천 노인이 시켰다 / 천 노인이 앞엣놈에게 이름을 안 물어 백구십 년 후회했다",44화 이름 / 133화 「제일 힘든 놈을 따라간다」 / 231화 넷째 줄
237,4,제 이름으로 적읍시다,done,3613,곽진강이 저놈의 대답을 마당에 전한다 — 안 숨겠답니다,13호 「배추가 모자랍니다」 / 10호 「이백이 와서 저걸 보면 도로 내려가겠지」,곽진강이 이름 하나로 마흔을 세운 셈을 이백에 적용한다,커진 채로 이랑 열여섯 위에 앉아 멍석 둘을 누른다,곽진강이 제 이름으로 적자고 한다 / 유백 「적히면 밤에 잠을 못 잡니다 · 저는 반대합니다」 / 1호 「큰 이름을 앞에 세워 뒤를 안 보이게 하는 게 내가 이백사십 년 한 걸세」 / 가리는 것도 숨는 것이다 — 넷째 줄 / 천 노인 「내일 또 앉세」,209화 이름을 댄 날 / 110화 위종의 셈 / 296~300 이름 종결
238,4,위에도 살았다,done,4062,하촌이 탁본을 안고 올라온다,13호 「못 때리십니까」 — 머리가 지붕 위라 꿀밤이 안 닿는다 / 사다리를 가지러 뛴다,-,안 줄인 채로 밤을 났다. 꼬리가 물길을 막아 이랑 넷이 잠긴다,선돌 뒷면에 「위에도 살았다」가 새겨졌다 / 아이 업은 여자 「줄인 채로 참고 있었소 · 나는 저게 큰 게 낫소」 / 서문경이 사십 년 만에 제 글자가 돌에 남는 것을 본다 / 1호가 마을 이름을 안다고 하자 상촌 노인이 말리고 여섯 자를 이름으로 삼는다 / 여섯 자 셋이 한자리에 모인다,144화 선돌 / 228화 서문경이 고른 여섯 자 / 231화 넷째 줄
239,4,닷새째,done,4274,닷새를 앉았는데 정한 것이 하나도 없다,13호가 사흘째 꼬리 위에 앉고 나흘째 다섯이 앉고 닷새째 백 영감이 사발을 올려놓는다 / 「배추는 아흐레치인데요」,-,꼬리를 안 빼서 마당의 앉는 자리가 된다,못 정하는 것은 무엇을 적을지가 아니라 누가 적힐지다 / 구 노인 「같이 지면 안 되나 · 배추는 같이 캤다」 / 1호가 제 옛 이름을 쓰겠다 하자 임 노파 「아무도 모르는 이름은 이름이 아닐세」 / 하촌이 배추 삼백스물을 지고 온다 — 열흘 덜 자란 것을 뽑았다 / 촌장 「아흐레 안에 정하시오」,228화 「우리가 서면 되오」 / 222화 「줄을 서 있습니다」 / 결계와 빚
240,4,반 치,done,3523,말 여섯이 올라온다,13호 「배추는 아흐레치인데요」에 아무도 안 웃는다,-,담 위로 목이 올라와 여섯이 다 올려다본다,총단이 서문경을 소환한다 — 사흘 / 올린 사람은 분타장이고 그는 화척이를 세 번 적으려다 못 적었다 / 유백 「대인이 서랍을 지시면 그건 제가 갚는 게 아니라 대인이 지는 겁니다」 / 천 노인이 「이 돌을 치우세」로 마당을 가른다 / 임 노파가 백구십 년 산 귀로 짚는다 — 엿새 전 그 말에 목소리가 반 치 낮았다,44화 「거짓말할 때 목소리가 반 치 낮아지네」 / 224화 「만든 사람이 여네」 / 241~270 위기
